Year,Disease_Category,Total_Cases,Total_Population,Category_Cases_per_100k
2011,Food & Water-borne,17164,29062100,59.0597376
2011,Respiratory,20666,29062100,71.10979592
2011,Other,7221,29062100,24.84679359
2011,Vaccine-preventable,1828,29062100,6.289979045
2011,Vector-borne,27484,29062100,94.56990376
2011,Viral Hepatitis,2864,29062100,9.854759291
2011,Blood-borne & STDs,7179,29062100,24.70227547
2012,Food & Water-borne,13768,29509900,46.65552916
2012,Respiratory,22710,29509900,76.95722452
2012,Other,34844,29509900,118.0756289
2012,Vaccine-preventable,2133,29509900,7.228082779
2012,Vector-borne,30321,29509900,102.7485691
2012,Viral Hepatitis,4912,29509900,16.64526142
2012,Blood-borne & STDs,7963,29509900,26.98416464
2013,Food & Water-borne,14674,30213800,48.56721101
2013,Respiratory,23262,30213800,76.99130861
2013,Other,23637,30213800,78.23246331
2013,Vaccine-preventable,453,30213800,1.499314883
2013,Vector-borne,51679,30213800,171.0443572
2013,Viral Hepatitis,5724,30213800,18.9449854
2013,Blood-borne & STDs,7617,30213800,25.21033435
2014,Food & Water-borne,18077,30708600,58.86624594
2014,Respiratory,24711,30708600,80.46931478
2014,Other,31630,30708600,103.0004624
2014,Vaccine-preventable,742,30708600,2.416261243
2014,Vector-borne,120477,30708600,392.3233231
2014,Viral Hepatitis,6268,30708600,20.41122031
2014,Blood-borne & STDs,8125,30708600,26.45838625
2015,Food & Water-borne,15346,31186100,49.20782015
2015,Respiratory,24220,31186100,77.6628049
2015,Other,22842,31186100,73.24416968
2015,Vaccine-preventable,2297,31186100,7.365460894
2015,Vector-borne,131478,31186100,421.5916706
2015,Viral Hepatitis,5963,31186100,19.120698
2015,Blood-borne & STDs,8564,31186100,27.46095215
2016,Food & Water-borne,18042,31633400,57.03465325
2016,Respiratory,25739,31633400,81.36653031
2016,Other,47240,31633400,149.3358286
2016,Vaccine-preventable,1939,31633400,6.129597198
2016,Vector-borne,108996,31633400,344.5598639
2016,Viral Hepatitis,6535,31633400,20.65854445
2016,Blood-borne & STDs,9563,31633400,30.23070552
2017,Food & Water-borne,14150,32022500,44.18768054
2017,Respiratory,26168,32022500,81.71754235
2017,Other,29595,32022500,92.41939261
2017,Vaccine-preventable,2135,32022500,6.667187134
2017,Vector-borne,92378,32022500,288.4784136
2017,Viral Hepatitis,8080,32022500,25.23225857
2017,Blood-borne & STDs,10591,32022500,33.07362011
2018,Food & Water-borne,15625,32382300,48.25166835
2018,Respiratory,25837,32382300,79.78741473
2018,Other,3210,32382300,9.912822746
2018,Vaccine-preventable,2907,32382300,8.977126393
2018,Vector-borne,85460,32382300,263.9096049
2018,Viral Hepatitis,7615,32382300,23.51593309
2018,Blood-borne & STDs,6385,32382300,19.71756175
2019,Food & Water-borne,17157,32522800,52.75376044
2019,Respiratory,26352,32522800,81.0262339
2019,Other,52381,32522800,161.0593184
2019,Vaccine-preventable,2072,32522800,6.370915173
2019,Vector-borne,139321,32522800,428.3794753
2019,Viral Hepatitis,8556,32522800,26.30769798
2019,Blood-borne & STDs,11203,32522800,34.44660361
2020,Food & Water-borne,9808,32447300,30.22747655
2020,Respiratory,23644,32447300,72.868929
2020,Other,17438,32447300,53.7425302
2020,Vaccine-preventable,655,32447300,2.018657947
2020,Vector-borne,96075,32447300,296.0955149
2020,Viral Hepatitis,7417,32447300,22.85860457
2020,Blood-borne & STDs,9985,32447300,30.77297649
2021,Food & Water-borne,6395,32576400,19.63077565
2021,Respiratory,21727,32576400,66.69552191
2021,Other,4410,32576400,13.53740745
2021,Vaccine-preventable,177,32576400,0.543338122
2021,Vector-borne,31834,32576400,97.72104959
2021,Viral Hepatitis,6585,32576400,20.21401997
2021,Blood-borne & STDs,8560,32576400,26.2766911
